@RELATION music_speech
@ATTRIBUTE SC_MEAN NUMERIC
@ATTRIBUTE SRO_MEAN NUMERIC
@ATTRIBUTE SFM_MEAN NUMERIC
@ATTRIBUTE PARFFT_MEAN NUMERIC
@ATTRIBUTE FLUX_MEAN NUMERIC
@ATTRIBUTE SC_STD NUMERIC
@ATTRIBUTE SRO_STD NUMERIC
@ATTRIBUTE SFM_STD NUMERIC
@ATTRIBUTE PARFFT_STD NUMERIC
@ATTRIBUTE FLUX_STD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
128.656296,239.404651,0.329993,9.164712,65.645735,13.206525,27.957121,0.087828,1.748588,45.773579,music
35.920625,63.362016,0.070470,14.030788,9.253576,5.640378,12.961779,0.017258,2.971727,11.300829,music
73.129325,131.306977,0.182494,8.531257,59.111000,14.131101,30.600760,0.064698,1.610347,32.966988,music
53.438319,107.152713,0.157699,15.020196,44.778818,33.812281,82.823015,0.090198,2.425725,49.396353,music
95.611158,197.720155,0.329049,11.355546,65.625664,35.080648,77.288045,0.135042,2.951442,53.194237,music
102.538567,180.851938,0.314582,10.510041,49.818217,16.085316,40.558530,0.103374,2.644996,35.899074,music
106.089502,213.786822,0.353036,9.732270,157.355480,33.278581,72.311377,0.114736,2.435556,140.566598,music
82.361230,175.502326,0.299725,13.468272,22.458433,32.291407,74.902937,0.124533,3.249124,18.058053,music
86.379398,197.724806,0.289009,12.616307,88.124737,28.741038,76.303968,0.121842,2.310318,123.087718,music
45.997734,80.243411,0.079825,12.132814,49.814447,7.492072,17.200765,0.020570,2.654664,32.205887,music
88.258727,160.336434,0.239095,11.621183,130.159295,22.648724,48.053507,0.089721,2.918811,120.146339,music
41.410022,87.674419,0.086466,11.418419,48.771384,11.220843,31.806723,0.024256,2.299857,30.341339,music
101.167206,210.775194,0.335107,10.649104,168.094926,38.043928,75.237066,0.135723,2.521101,186.835872,music
51.599799,102.651938,0.149843,13.014362,21.274337,10.143240,24.212988,0.030783,2.375067,12.891411,music
50.228331,86.657364,0.133103,11.602684,24.908595,19.484592,46.246681,0.053432,2.559396,20.552062,music
57.906300,112.520155,0.193639,13.447603,26.513394,22.741331,59.733335,0.097914,3.179963,28.920099,music
47.767703,86.517829,0.114114,12.330758,27.771327,24.210680,49.315549,0.056681,2.893763,31.875298,music
78.459524,143.932558,0.211189,12.453585,68.215569,17.553374,25.375706,0.063260,2.783356,49.224960,music
74.484610,155.504651,0.264095,11.611847,96.475622,22.521904,84.700624,0.102300,2.319023,80.538260,music
36.920164,51.334109,0.100322,13.515164,17.706294,20.682239,45.806460,0.064980,2.846382,18.741572,music
88.058474,185.034884,0.293046,10.230698,56.091600,24.033402,53.091039,0.114203,1.898407,47.055603,music
53.185797,95.718605,0.114373,11.180349,37.647401,17.663706,40.103054,0.050811,2.682746,31.603154,music
88.672832,201.976744,0.313604,12.240341,47.210024,36.455043,79.112682,0.106118,2.327895,45.138376,music
78.180349,168.452713,0.256635,12.252981,65.951204,33.995255,79.897811,0.108235,2.365045,70.440682,music
51.645123,104.099225,0.084093,11.630818,44.840708,16.453685,32.221343,0.022553,2.616445,37.889438,music
95.683354,166.264341,0.249830,11.167201,56.791150,15.077599,42.270070,0.100886,3.071958,30.448298,music
112.274966,248.675969,0.414108,10.639778,41.736937,22.678763,49.324936,0.091951,1.947824,23.105264,music
115.719979,303.896899,0.404686,12.900276,42.868733,29.386802,60.805608,0.093304,1.992650,46.147894,music
113.809040,297.058140,0.340276,16.313552,11.339266,24.861762,63.457333,0.076372,3.032095,13.697004,music
69.447291,141.172093,0.223029,11.645200,103.878793,37.675918,89.964971,0.153389,2.313206,136.571937,music
81.289396,151.399225,0.224199,12.183257,53.409998,10.721579,11.689835,0.043460,2.349597,26.411296,music
106.679085,235.113178,0.338679,12.925827,130.689171,23.014534,51.595276,0.082146,2.990278,119.590070,music
112.262940,237.635659,0.372146,11.379316,100.607533,44.491142,89.592561,0.152085,2.765306,105.844938,music
29.760668,40.933333,0.079907,13.213833,9.447403,6.551116,19.595369,0.029269,2.104653,14.968638,music
72.780579,146.230233,0.190454,9.655409,84.448366,19.922686,37.879968,0.040816,1.816623,57.899919,music
96.932050,177.543411,0.291304,11.687573,56.497351,32.421815,65.498068,0.098296,3.188048,58.221780,music
106.898193,233.248062,0.385439,11.700445,40.569806,22.148053,49.818155,0.092463,2.241094,25.708464,music
78.047038,151.315504,0.249777,11.170709,47.428570,20.681818,58.903841,0.104051,2.570825,35.022695,music
122.226710,173.993023,0.279772,7.162825,145.944693,7.734714,15.439026,0.042852,1.460553,47.885097,music
78.195959,150.148062,0.229910,11.182389,58.918701,8.150721,10.671948,0.038692,2.143482,27.715511,music
74.752704,128.730233,0.190790,11.518475,64.745199,7.380745,10.835633,0.033374,2.187565,35.295920,music
96.676897,149.039535,0.208136,10.134012,118.932930,8.647615,21.673278,0.065929,2.374196,92.673022,music
72.139902,156.290698,0.256095,13.838667,21.055391,16.570661,42.189991,0.093754,2.905664,13.633690,music
70.831524,131.985271,0.196421,11.098419,44.169978,40.097473,86.814061,0.105588,3.189923,33.954757,music
67.811118,144.925581,0.204595,12.389063,94.878955,17.092592,40.276822,0.050723,2.999880,92.099547,music
66.328256,138.025581,0.176778,12.279011,52.948481,19.746469,56.517996,0.070650,2.231049,51.121964,music
66.197425,140.207752,0.184140,10.511008,30.898274,23.966853,71.013877,0.099820,1.853565,27.477743,music
56.669190,105.464341,0.170402,13.731766,25.941982,19.128465,48.593176,0.082369,4.093452,40.816193,music
74.146294,163.382171,0.296311,10.507081,80.411081,18.484856,55.566334,0.085257,2.124404,78.441042,music
114.595984,270.278295,0.376027,12.982585,155.880219,39.555712,65.894872,0.090624,2.669933,124.081769,music
107.659383,235.624806,0.372472,9.419782,144.450131,27.421718,69.271964,0.115947,1.789362,135.911384,music
59.501362,116.383721,0.126797,11.326373,75.985309,13.583819,36.587191,0.047925,2.562395,59.411264,music
73.825474,138.260465,0.214311,13.106915,71.059805,17.764311,34.147678,0.077537,2.873076,55.199707,music
61.879191,124.856589,0.172454,10.265330,81.080512,16.826754,44.165057,0.075953,2.145230,62.633989,music
115.047526,245.393798,0.394932,9.486963,91.043156,35.272528,64.665412,0.132643,2.123638,80.249549,music
111.440362,225.351163,0.389041,10.034082,126.268584,31.714286,69.464318,0.142606,2.009295,122.857564,music
94.576835,208.291473,0.343719,9.929837,56.270449,30.174432,69.760478,0.124245,1.825885,34.509133,music
110.262837,204.964341,0.357973,8.235842,71.223149,21.614755,63.234254,0.110712,1.468813,40.202585,music
69.584288,142.875969,0.222950,11.682301,38.331619,23.410840,67.927619,0.093226,1.938920,38.512105,music
100.592338,220.290698,0.346635,11.451933,63.115917,22.412335,48.975995,0.086381,2.203960,52.283146,music
90.694211,179.212403,0.333239,10.044542,98.346712,19.039627,53.829733,0.105279,1.860893,83.350081,music
87.678736,183.679070,0.257789,10.455201,70.857767,44.573526,94.931232,0.125899,2.127398,75.564199,music
55.783688,99.041085,0.101850,11.344423,43.844117,10.036113,23.153295,0.027466,2.653651,21.355930,music
62.109331,121.106977,0.198342,10.188893,64.199695,26.304126,66.481828,0.125513,2.582793,64.636005,music
76.861616,164.187597,0.272966,16.123856,19.524341,52.009145,103.172545,0.137204,4.075475,24.849904,speech
86.125272,176.282946,0.300057,12.536070,54.867531,37.674546,71.094182,0.127933,3.959335,51.630409,speech
102.295152,201.206977,0.312276,12.992857,71.278716,51.011600,89.991721,0.145563,3.482185,63.954842,speech
126.519584,261.820155,0.466109,9.396677,33.660400,38.188862,72.145311,0.148248,3.104824,44.565651,speech
123.573966,257.303876,0.437022,11.608456,57.309382,50.444189,92.178588,0.166513,3.501109,96.500010,speech
77.988315,143.405426,0.203630,11.745339,28.854161,36.414860,65.760612,0.127936,3.032859,26.807652,speech
76.387526,140.130233,0.201351,12.990987,89.979424,27.262901,51.202381,0.102081,3.804301,94.979045,speech
92.865480,193.834884,0.308915,12.639337,65.776919,45.421214,91.834279,0.155511,3.284899,69.877554,speech
131.488289,262.426357,0.451999,8.797025,110.406266,49.161110,92.511845,0.187836,3.189564,196.577489,speech
116.703266,205.711628,0.359768,9.567192,105.799364,28.028187,59.215810,0.128353,3.497909,117.031713,speech
119.380186,209.300000,0.378440,8.709555,106.568323,27.406228,61.487170,0.125038,3.260895,112.798956,speech
131.583159,282.805
