@RELATION music_speech
@ATTRIBUTE F1_MEAN NUMERIC
@ATTRIBUTE F2_MEAN NUMERIC
@ATTRIBUTE F3_MEAN NUMERIC
@ATTRIBUTE F4_MEAN NUMERIC
@ATTRIBUTE F5_MEAN NUMERIC
@ATTRIBUTE F6_MEAN NUMERIC
@ATTRIBUTE F7_MEAN NUMERIC
@ATTRIBUTE F8_MEAN NUMERIC
@ATTRIBUTE F9_MEAN NUMERIC
@ATTRIBUTE F10_MEAN NUMERIC
@ATTRIBUTE F11_MEAN NUMERIC
@ATTRIBUTE F12_MEAN NUMERIC
@ATTRIBUTE F13_MEAN NUMERIC
@ATTRIBUTE F14_MEAN NUMERIC
@ATTRIBUTE F15_MEAN NUMERIC
@ATTRIBUTE F16_MEAN NUMERIC
@ATTRIBUTE F17_MEAN NUMERIC
@ATTRIBUTE F18_MEAN NUMERIC
@ATTRIBUTE F19_MEAN NUMERIC
@ATTRIBUTE F20_MEAN NUMERIC
@ATTRIBUTE F21_MEAN NUMERIC
@ATTRIBUTE F22_MEAN NUMERIC
@ATTRIBUTE F23_MEAN NUMERIC
@ATTRIBUTE F24_MEAN NUMERIC
@ATTRIBUTE F25_MEAN NUMERIC
@ATTRIBUTE F26_MEAN NUMERIC
@ATTRIBUTE F1_STD NUMERIC
@ATTRIBUTE F2_STD NUMERIC
@ATTRIBUTE F3_STD NUMERIC
@ATTRIBUTE F4_STD NUMERIC
@ATTRIBUTE F5_STD NUMERIC
@ATTRIBUTE F6_STD NUMERIC
@ATTRIBUTE F7_STD NUMERIC
@ATTRIBUTE F8_STD NUMERIC
@ATTRIBUTE F9_STD NUMERIC
@ATTRIBUTE F10_STD NUMERIC
@ATTRIBUTE F11_STD NUMERIC
@ATTRIBUTE F12_STD NUMERIC
@ATTRIBUTE F13_STD NUMERIC
@ATTRIBUTE F14_STD NUMERIC
@ATTRIBUTE F15_STD NUMERIC
@ATTRIBUTE F16_STD NUMERIC
@ATTRIBUTE F17_STD NUMERIC
@ATTRIBUTE F18_STD NUMERIC
@ATTRIBUTE F19_STD NUMERIC
@ATTRIBUTE F20_STD NUMERIC
@ATTRIBUTE F21_STD NUMERIC
@ATTRIBUTE F22_STD NUMERIC
@ATTRIBUTE F23_STD NUMERIC
@ATTRIBUTE F24_STD NUMERIC
@ATTRIBUTE F25_STD NUMERIC
@ATTRIBUTE F26_STD NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
28.673854,-17.388721,-9.980402,-2.265446,-3.578003,-1.781931,-1.780522,-0.656157,-0.192547,1.218473,0.601333,0.504222,0.789484,0.281150,1.454657,0.903167,0.105897,0.338741,-0.356113,0.026199,-0.850752,-0.431026,0.823144,-0.007344,-0.552704,-0.117158,8.763212,2.707517,2.153112,1.792814,1.690397,1.294014,1.812385,1.237114,1.105976,0.977342,1.059933,1.175575,1.018910,1.012054,1.117151,1.155783,1.039830,0.921150,0.829817,1.045502,1.065536,0.964140,1.310340,0.685613,1.227606,0.912779,music
-22.508474,6.386025,-4.934184,-4.403072,-0.329782,-2.596037,-2.396136,-1.536402,-2.211463,-0.439255,-0.300650,0.216035,-0.860508,-0.167477,0.151892,0.093004,0.096534,-0.088098,0.252916,-0.301179,0.014245,0.149922,0.349516,-0.122762,-0.183655,-0.073485,12.144166,2.829361,3.752493,1.418415,1.720728,1.600252,1.321938,1.189909,1.115891,1.202840,1.313706,1.254885,1.209930,0.992116,1.192785,0.852015,0.875372,0.808019,0.879617,0.777840,0.718179,0.739316,0.752142,0.667815,0.661633,0.553720,music
21.568796,-4.804179,-12.748972,-4.825035,-5.802218,-3.233769,-3.091231,-2.413418,-2.205585,-1.121035,-0.824213,0.054757,-0.306668,0.109515,0.004994,0.383791,0.095039,0.357356,0.037896,0.183327,0.237463,0.215999,0.049928,0.165307,-0.118068,-0.121287,11.432600,4.306068,1.713020,1.370604,0.926201,0.865231,0.767162,0.814796,0.842113,0.787020,0.814820,0.943647,0.749132,0.718961,0.674026,0.717298,0.653052,0.690905,0.641074,0.675951,0.595946,0.589741,0.586161,0.456470,0.773842,0.660012,music
3.927750,-6.551326,1.766615,6.053017,1.865582,2.543636,0.992772,2.100102,0.097342,0.303935,0.166600,-0.436182,-0.671980,-0.002614,-0.272394,-0.113415,-0.502774,-0.119659,-0.203254,-0.101265,-0.406020,-0.489521,-0.481605,-0.272658,-0.179956,-0.179164,18.624525,6.618669,5.256898,3.175760,2.624544,1.817043,2.156370,1.706011,1.702920,1.581745,1.802401,1.238093,1.179120,1.163251,1.003140,0.946784,1.052353,1.059347,0.929626,0.742876,0.734366,0.752023,0.686989,0.665427,0.684271,0.716786,music
25.432936,-10.794889,-2.493100,0.346611,-1.640363,-0.054477,-0.068313,0.022265,-0.335035,0.355522,0.032247,0.729049,0.042033,0.498455,0.096089,-0.038434,-0.137711,0.085984,-0.156195,0.062445,-0.100054,-0.078701,-0.050523,-0.142332,0.030793,0.114032,11.260925,5.866383,5.722546,2.921938,2.319319,1.927327,1.755638,1.870916,1.479314,1.333671,1.238634,1.345580,1.451223,1.299757,1.203772,1.140179,1.086374,0.992048,0.956872,0.964367,0.798375,0.859771,0.883634,0.751766,0.788527,0.681769,music
18.606805,-12.088261,-10.941236,-2.036200,-0.002813,-4.964451,-3.486388,-2.042161,-2.473480,0.215849,0.143447,1.273963,1.676945,1.275860,1.652305,1.409410,0.732307,-0.337350,0.425684,-0.353276,-0.380549,0.202735,0.104532,0.203423,-0.066412,0.080778,9.522780,2.785134,3.474460,1.765850,1.352959,2.276745,1.256200,1.377434,1.407741,0.871054,0.971414,0.876544,0.916910,0.950820,0.780109,0.892150,0.781048,0.792379,0.789744,0.761780,0.826941,0.588993,0.508744,0.527993,0.573814,0.655995,music
43.610608,-10.735271,-3.854565,-0.025822,1.295959,-1.592681,-0.787498,-0.324212,-0.245314,0.702744,-0.419549,-0.174214,0.597479,0.407429,0.609494,0.369840,0.066089,0.346624,-0.396002,-0.473133,-0.143060,0.002831,-0.264397,0.159391,0.010316,-0.080361,15.009705,4.735011,3.454603,2.518318,1.926121,2.212928,1.764462,1.276767,1.300105,1.413713,1.222397,1.222571,1.074222,0.969972,1.027934,0.903306,0.861230,0.899985,0.790779,0.839003,0.829338,0.811197,0.771487,0.609100,0.750418,0.726565,music
-0.123019,-8.678151,-2.450387,-0.155003,-1.086498,-0.599009,-0.302216,0.632936,0.116459,0.196881,-0.581342,-0.149472,-0.524283,-0.031137,-0.036084,0.713315,0.426692,-0.208805,-0.444040,0.125224,-0.039287,-0.143713,0.007091,0.191730,0.004661,-0.081993,20.988855,5.178212,3.806900,2.603162,2.082083,1.503097,1.409393,1.548131,1.408226,1.083926,0.938300,1.058758,1.101275,0.922606,1.152778,0.949728,0.814467,0.704091,0.680166,0.799057,0.663989,0.659908,0.658360,0.586900,0.672449,0.494730,music
26.121094,-9.730830,-1.391180,1.798849,0.890291,0.112449,-0.767290,0.897557,-0.269980,1.037667,0.332869,0.650364,0.874893,0.204858,0.997170,0.590468,0.429648,0.020499,-0.234163,0.340869,-0.153814,0.007123,-0.001549,-0.001677,-0.147366,-0.090639,14.804359,4.199561,3.566516,2.032805,2.223390,1.480937,1.741839,1.416589,1.251208,1.376865,1.374073,1.214556,1.146548,1.065063,1.008220,0.928709,1.081949,0.961592,1.009803,0.909654,0.830625,0.878613,0.948451,0.644175,0.708767,0.794431,music
15.170483,5.017799,-8.783917,-2.492289,-2.226727,-3.361794,-3.085507,-2.288825,-1.663475,-0.250282,-0.998722,-1.401711,-1.215484,-0.751613,-0.444461,0.210931,-0.215452,-0.461112,-0.691861,-0.605970,0.007710,-0.292417,-0.417386,0.046865,0.146735,-0.015177,16.266416,2.861749,2.545353,2.131587,1.600562,1.459010,1.437712,1.386932,1.621075,1.918973,1.847415,2.049203,1.984699,1.519734,1.564988,1.855475,1.518322,0.897697,0.975157,1.024485,1.124571,1.024241,0.892886,0.883625,1.187139,0.945797,music
