@RELATION music_speech
@ATTRIBUTE F1_MEAN NUMERIC
@ATTRIBUTE F2_MEAN NUMERIC
@ATTRIBUTE F3_MEAN NUMERIC
@ATTRIBUTE F4_MEAN NUMERIC
@ATTRIBUTE F5_MEAN NUMERIC
@ATTRIBUTE F6_MEAN NUMERIC
@ATTRIBUTE F7_MEAN NUMERIC
@ATTRIBUTE F8_MEAN NUMERIC
@ATTRIBUTE F9_MEAN NUMERIC
@ATTRIBUTE F10_MEAN NUMERIC
@ATTRIBUTE F11_MEAN NUMERIC
@ATTRIBUTE F12_MEAN NUMERIC
@ATTRIBUTE F13_MEAN NUMERIC
@ATTRIBUTE F14_MEAN NUMERIC
@ATTRIBUTE F15_MEAN NUMERIC
@ATTRIBUTE F16_STD NUMERIC
@ATTRIBUTE F17_STD NUMERIC
@ATTRIBUTE F18_MEAN NUMERIC
@ATTRIBUTE F19_MEAN NUMERIC
@ATTRIBUTE F20_MEAN NUMERIC
@ATTRIBUTE F21_MEAN NUMERIC
@ATTRIBUTE F22_MEAN NUMERIC
@ATTRIBUTE F23_MEAN NUMERIC
@ATTRIBUTE F24_MEAN NUMERIC
@ATTRIBUTE F25_MEAN NUMERIC
@ATTRIBUTE F26_MEAN NUMERIC
@ATTRIBUTE F1_STD NUMERIC
@ATTRIBUTE F2_STD NUMERIC
@ATTRIBUTE F3_STD NUMERIC
@ATTRIBUTE F4_STD NUMERIC
@ATTRIBUTE F5_STD NUMERIC
@ATTRIBUTE F6_STD NUMERIC
@ATTRIBUTE F7_STD NUMERIC
@ATTRIBUTE F8_STD NUMERIC
@ATTRIBUTE F9_STD NUMERIC
@ATTRIBUTE F10_STD NUMERIC
@ATTRIBUTE F11_STD NUMERIC
@ATTRIBUTE F12_STD NUMERIC
@ATTRIBUTE F13_STD NUMERIC
@ATTRIBUTE F14_STD NUMERIC
@ATTRIBUTE F15_STD NUMERIC
@ATTRIBUTE F16_STD NUMERIC
@ATTRIBUTE F17_STD NUMERIC
@ATTRIBUTE F18_MEAN NUMERIC
@ATTRIBUTE F19_MEAN NUMERIC
@ATTRIBUTE F20_MEAN NUMERIC
@ATTRIBUTE F21_MEAN NUMERIC
@ATTRIBUTE F22_MEAN NUMERIC
@ATTRIBUTE F23_MEAN NUMERIC
@ATTRIBUTE F24_MEAN NUMERIC
@ATTRIBUTE F25_MEAN NUMERIC
@ATTRIBUTE F26_MEAN NUMERIC
@ATTRIBUTE class {music,speech}

@DATA
28.653819,-17.387179,-9.979579,-2.254132,-3.588890,-1.782636,-1.781636,-0.672358,-0.185544,1.261361,0.630537,0.501050,0.775515,0.248995,1.392384,0.873452,0.124932,0.384855,-0.311995,0.066221,-0.826194,-0.461440,0.780078,-0.035807,-0.569022,-0.148434,8.758582,2.721014,2.157359,1.801919,1.708150,1.294486,1.819923,1.239881,1.102613,0.988490,1.064383,1.181936,1.021527,1.007118,1.104180,1.138066,1.045433,0.923220,0.812742,1.028446,1.068333,0.985078,1.295813,0.713038,1.254181,0.920715,music
-22.523533,6.410059,-4.907355,-4.425797,-0.346033,-2.595736,-2.425273,-1.532678,-2.196303,-0.451952,-0.304514,0.248557,-0.850375,-0.174287,0.152913,0.094398,0.091210,-0.105266,0.238558,-0.299210,0.015036,0.162314,0.365484,-0.130209,-0.191287,-0.047678,12.127135,2.820268,3.748551,1.427399,1.718186,1.588947,1.314143,1.190839,1.109405,1.199861,1.318652,1.250691,1.231812,0.989828,1.188059,0.846166,0.884610,0.813357,0.850808,0.763672,0.711867,0.738657,0.775118,0.702733,0.689676,0.571890,music
21.556442,-4.793752,-12.751193,-4.819216,-5.798443,-3.228372,-3.107235,-2.427782,-2.211466,-1.119040,-0.813755,0.065642,-0.306933,0.120685,0.002247,0.378132,0.089108,0.361633,0.032112,0.178250,0.232324,0.203682,0.058004,0.180167,-0.101709,-0.116948,11.435578,4.297021,1.707284,1.358766,0.921767,0.859138,0.764126,0.803281,0.837864,0.791989,0.816960,0.936697,0.740907,0.721734,0.668232,0.717640,0.657783,0.716223,0.647594,0.648029,0.591615,0.588391,0.577275,0.477248,0.811912,0.688274,music
3.936303,-6.540824,1.748908,6.049939,1.861512,2.542098,0.995054,2.121281,0.105476,0.294569,0.159925,-0.441553,-0.686876,0.001834,-0.258889,-0.107603,-0.512088,-0.122705,-0.201361,-0.099919,-0.400403,-0.482231,-0.472416,-0.287664,-0.196404,-0.186140,18.638681,6.603116,5.255313,3.181370,2.638444,1.799575,2.159189,1.723368,1.703763,1.590313,1.817897,1.233068,1.176410,1.160799,1.002589,0.939031,1.050607,1.061213,0.941654,0.755310,0.745503,0.747528,0.700079,0.703200,0.700558,0.728147,music
25.443177,-10.776752,-2.489025,0.351772,-1.660194,-0.068799,-0.076506,0.022097,-0.344135,0.348118,0.029797,0.744227,0.061538,0.515261,0.109265,-0.033043,-0.149132,0.063076,-0.186679,0.037325,-0.091669,-0.061139,-0.038895,-0.125849,0.054253,0.119763,11.277309,5.861999,5.721019,2.922429,2.327300,1.925471,1.761191,1.872804,1.485899,1.345942,1.243555,1.356799,1.474710,1.330163,1.198383,1.126472,1.085551,1.004570,0.946195,0.913989,0.787763,0.861817,0.890460,0.768181,0.799703,0.681549,music
18.544484,-12.111773,-10.951622,-2.060563,0.018312,-4.902235,-3.453976,-1.996539,-2.446299,0.197502,0.100303,1.229802,1.624529,1.258227,1.658168,1.420608,0.768761,-0.300707,0.447510,-0.321886,-0.370133,0.184932,0.077931,0.164625,-0.119763,0.057620,9.502063,2.774182,3.467140,1.772781,1.355524,2.265697,1.242529,1.356683,1.399677,0.871543,0.964999,0.881137,0.902502,0.936682,0.772422,0.890482,0.805235,0.812562,0.776754,0.739793,0.814994,0.602927,0.517448,0.528126,0.581661,0.654524,music
43.601351,-10.748150,-3.879497,-0.019838,1.326650,-1.563327,-0.790010,-0.332039,-0.249988,0.709984,-0.421869,-0.189027,0.573537,0.413082,0.620404,0.369832,0.057805,0.367739,-0.371649,-0.469229,-0.167602,-0.017221,-0.263832,0.171866,0.010111,-0.090448,15.019454,4.732095,3.451738,2.521004,1.925959,2.211222,1.772996,1.271198,1.306411,1.424295,1.224690,1.216241,1.069135,0.981265,1.031835,0.900146,0.862612,0.910050,0.794295,0.829299,0.835675,0.815360,0.769888,0.618865,0.774081,0.740803,music
-0.161523,-8.686915,-2.435962,-0.121326,-1.074623,-0.599880,-0.328557,0.601908,0.093479,0.211886,-0.545572,-0.113340,-0.516392,-0.049930,-0.080550,0.689142,0.442964,-0.174744,-0.431795,0.126424,-0.046313,-0.174133,-0.018307,0.207810,0.043362,-0.062246,21.001821,5.169908,3.806368,2.600954,2.093432,1.497165,1.408017,1.537290,1.403411,1.097716,0.942350,1.057381,1.099635,0.936928,1.145677,0.942865,0.818600,0.701882,0.661198,0.777551,0.660643,0.663213,0.679867,0.595322,0.667562,0.493947,music
26.101866,-9.741433,-1.393945,1.805760,0.893812,0.122687,-0.760083,0.922063,-0.273874,1.024262,0.318753,0.651190,0.863415,0.198015,0.998972,0.597902,0.442083,0.030232,-0.237699,0.340629,-0.151982,0.011326,-0.014330,-0.010273,-0.152418,-0.084612,14.796852,4.201462,3.563733,2.029553,2.232579,1.492650,1.752836,1.420950,1.241875,1.380151,1.366830,1.194049,1.138285,1.070330,0.996150,0.921756,1.099640,0.961033,0.996250,0.894620,0.835470,0.870445,0.939734,0.659356,0.720816,0.794048,music
15.142539,5.019760,-8.775715,-2.486487,-2.202757,-3.331433,-3.110295,-2.331700,-1.685486,-0.261957,-1.006121,-1.385560,-1.189548,-0.717079,-0.416271,0.224814,-0.229192,-0.484891,-0.722510,-0.644436,-0.035642,-0.306095,-0.377668,0.108362,0.203013,0.020517,16.295396,2.867507,2.547241,2.125729,1.618228,1.474543,1.427916,1.379850,1.617597,1.929877,1.850263,2.031408,1.977652,1.531976,1.540344,1.833684,1.532655,0.922199,0.966240,0.998938,1.115078,1.025881,0.897448,0.887272,1.185139,0.947623,music
